毎年春の選抜高校野球大会を主催している新聞社はどこでしょう？,毎日新聞社,66666
卓球で、サーブの時はボールのトスを何cm以上投げ上げなければならないと定められているでしょう？,16cm,0011
硬式卓球で使用される国際卓球連盟公認球は、直径何mmと表記されているでしょう？,40mm,0011
設立当時に映画『ジュラシック・パーク』が大ヒットしていたことからこの名が付いた、バスケットボールNBAの30クラブで唯一アメリカ合衆国以外に本拠地を置くチームは「トロント・何」でしょう？,トロント・ラプターズ,4444444444
バスケットボール発祥の地であることから「バスケットボール殿堂」が建てられている、アメリカのマサチューセッツ州にある都市はどこでしょう？,スプリングフィールド,4444444444
「アメリカ野球殿堂」がある、アメリカ・ニューヨーク州にある小さな村はどこでしょう？,クーパーズタウン,44444444
「プロフットボール殿堂」がある、アメリカ・オハイオ州にある都市はどこでしょう？,カントン,4444
「ホッケーの殿堂」がある、カナダ・オンタリオ州の州都はどこでしょう？,トロント,4444
野球の素振り練習などで用いる、通常のバットよりも重く作られたバットを何というでしょう？,マスコットバット,44444444
国際陸上競技連盟のルールで、トラック種目での「フライング」は何回犯すと失格になるでしょう？,1回,06
2017年に星野仙一とともに野球殿堂エキスパート部門に選出された往年の野球選手で、「カミソリシュート」を武器に横浜大洋ホエールズで活躍した投手は誰でしょう？,平松政次,6666
ゴルフで、各ホールの基準打数より4打少ない打数でカップインすることを、ある鳥の英語名を使って何というでしょう？,コンドル,4444
テニスで、シングルスではアウトになるがダブルスではインと判定される、コートの両端にある細長い区域を英語で何というでしょう？,アレー,444
スキーの滑った跡は「シュプール」といいますが、スケートの滑った跡を英語由来の言葉で何というでしょう？,トレース,4444
サッカーのナショナルチームで、「不屈のライオン」の愛称で親しまれ、2000年のシドニーオリンピックでは金メダルを獲得している強豪といえばどこの国の代表でしょう？,カメルーン共和国,44444666
そのユニフォームの色から「アズーリ」という愛称がつけられているサッカーナショナルチームといえばどこの国の代表でしょう？,イタリア,4444
アメリカンフットボールで、オフェンス側が攻撃権を保つためには4回の攻撃の間に何ヤード以上進まなければならないでしょう？,10ヤード,00444
最後の場所は多賀竜が優勝した、現在の両国国技館が建造されるまで東京での大相撲本場所を開催していた施設は何でしょう？,蔵前国技館,66666
正月に行われる「箱根駅伝」で、各校のエースが出揃うことから「花の」と称される区間は何区でしょう？,2区,06
正月に行われる「箱根駅伝」で、標高差864mを一気に駆け上がる「山上り」と称される区間は何区でしょう？,5区,06
正月に行われる「箱根駅伝」で、往路のスタート地点であり復路のゴール地点となっているのは、大会の共催者でもある何という新聞社の本社ビル前でしょう？,読売新聞,6666
正月に行われる「箱根駅伝」で、往路の2区とともに最長距離である「復路のエース区間」と称される区間は何区でしょう？,9区,06
「富士登山駅伝」では一般の部優勝チームに、「箱根駅伝」では大会の最優秀選手に贈られる賞を、「日本マラソンの父」と称される人物の名から何杯というでしょう？,金栗四三杯,66666
妻に元おニャン子クラブの高井麻巳子を持つ、アイドルグループ「おニャン子クラブ」や「AKB48」のプロデュースで知られる人物は誰でしょう？,秋元康,666
現在は焼肉店「焼肉IWA」のオーナーを務めている、AKB48在籍時に「第1回AKB選抜じゃんけん大会」で優勝した元メンバーといえば誰でしょう？,内田眞由美,66666
「おどま盆ぎり盆ぎり 盆から先きゃおらんと」の歌い出しで知られる、熊本県に伝わる子守唄は何でしょう？,五木の子守唄,663666
「アカチャカ ベッチャカ チャカチャカチャ」と囃し言葉が入る、熊本県に伝わる民謡は何でしょう？,おてもやん,33333
アニメ『響け！ユーフォニアム』のエンディング曲のタイトルにもなっている、演奏者全員で演奏することを意味するイタリア語は何でしょう？,トゥッティ,44444
イタリア語で「小さな歌」という意味がある、14行からなる定型詩のことを何というでしょう？,ソネット,4444
「中国の踊り」「葦笛の踊り」「金平糖の精の踊り」など全8曲で構成される、チャイコフスキー作曲のバレエ組曲は何でしょう？,くるみ割り人形,3336366
ソロデビュー曲『バレンタイン・キッス』は現在もバレンタインデーの定番曲として知られる、かつてのアイドルグループ「おニャン子クラブ」のメンバーだった歌手は誰でしょう？,国生さゆり,66333
1人の歌い手が高い声と低い声を同時に出すモンゴル民謡における特有の歌唱法を何というでしょう？,ホーミー,4444
「自分は未だ完成していない」という思いから、名前の後に「、」を付けた芸名で活動している、『仮面ライダー』の本郷猛役などで知られる俳優は誰でしょう？,藤岡弘、,6665
日本の伝統芸能の1つ「人形浄瑠璃」において、語りを担当する人のことを何というでしょう？,太夫,66
キューバの歌手マルガリータ・レクオーナが作曲したラテン音楽で、日本ではペレス・プラード楽団が演奏したバージョンが、加藤茶がストリップを真似て「ちょっとだけよ」というギャグをする時に流れるBGMとして知られているのは何でしょう？,Taboo,21111
本名を森内貴寛といい、森進一・昌子元夫妻の長男にあたる、4人組ロックバンド「ONE OK ROCK」のボーカルとして活躍しているミュージシャンは誰でしょう？,Taka,2111
イギリスの作曲家・ホルストの組曲『惑星』で、その副題に「戦争をもたらす者」とついている曲は何でしょう？,火星,66
イギリスの作曲家・ホルストの組曲『惑星』で、その副題に「平和をもたらす者」とついている曲は何でしょう？,金星,66
イギリスの作曲家・ホルストの組曲『惑星』で、その副題に「翼のある使者」とついている曲は何でしょう？,水星,66
イギリスの作曲家・ホルストの組曲『惑星』で、その副題に「快楽をもたらす者」とついている曲は何でしょう？,木星,66
イギリスの作曲家・ホルストの組曲『惑星』で、その副題に「老いをもたらす者」とついている曲は何でしょう？,土星,66
太陽系の惑星のうち、イギリスの作曲家・ホルストの組曲『惑星』に入っていない唯一の惑星は何でしょう？,地球,66
グスターヴ・ホルストの組曲『惑星』の追加曲という形で2000年に『冥王星、再生する者』を発表した、イギリスの作曲家は誰でしょう？,コリン・マシューズ,444444444
妻に元おニャン子クラブの渡辺満里奈を持つ、お笑いトリオ「ネプチューン」のリーダーといえば誰でしょう？,名倉潤,666
本名を明石徳三という、弟子に実子の明石家のんき、タレントの明石家さんまがいることで知られる落語家は誰でしょう？,笑福亭松之助,666666
